market,order_year,order_region,order_item_quantity
Europe,2015,Northern Europe,52.11162790697674
Europe,2015,Southern Europe,49.46511627906977
Europe,2015,Western Europe,143.71162790697673
Latin America,2015,Caribbean,24.671232876712327
Latin America,2015,Central America,81.10684931506849
Latin America,2015,South America,43.93698630136986
Pacific Asia,2015,Australia/New Zealand,89.57971014492753
Pacific Asia,2015,Eastern Asia,89.72463768115942
Pacific Asia,2015,Melanesia,2.8421052631578947
Pacific Asia,2015,Southeastern Asia,112.10144927536231
Pacific Asia,2015,Southern Asia,71.7536231884058
