order_year,market,order_region,total_sales
2017,Africa,Eastern Africa,41482.34091109
2017,Africa,Middle Africa,29969.81061775
2017,Africa,Northern Africa,71486.82144237
2017,Africa,Southern Africa,19468.59034926
2017,Africa,Western Africa,85422.6015346
2017,Europe,Asiatic Russia/European Russia,41770.88090186
2017,Europe,Eastern Europe,53099.04091335
2017,Europe,Northern Europe,1086083.36767848
2017,Europe,Southern Europe,1032037.04691227
2017,Europe,Western Europe,2984677.67821944
2017,LATAM,Caribbean,820517.2562261809
2017,LATAM,Central America,2911162.627443952
2017,LATAM,South America,1473744.489008211
2017,Pacific Asia,Australia/New Zealand,206450.56377328
2017,Pacific Asia,Central Asia,11906.64019018
2017,Pacific Asia,Eastern Asia,249327.51444380998
2017,Pacific Asia,Melanesia,425.02999880000004
2017,Pacific Asia,Southeastern Asia,298829.41491571
2017,Pacific Asia,Southern Asia,208936.503789681
2017,Pacific Asia,Western Asia,158574.733201321
2017,USCA,Northern America,23063.19049862
