market,order_region,mean_daily_sales
Africa,Eastern Africa,619.14
Africa,Middle Africa,626.52
Africa,Northern Africa,642.25
Africa,Southern Africa,540.25
Africa,Western Africa,578.45
Europe,Asiatic Russia/European Russia,609.55
Europe,Eastern Europe,598.96
Europe,Northern Europe,579.36
Europe,Southern Europe,568.59
Europe,Western Europe,581.09
LATAM,Caribbean,590.19
LATAM,Central America,615.73
LATAM,South America,597.17
Pacific Asia,Australia/New Zealand,232.83
Pacific Asia,Central Asia,496.11
Pacific Asia,Eastern Asia,293.1
Pacific Asia,Melanesia,212.51
Pacific Asia,Southeastern Asia,271.44
Pacific Asia,Southern Asia,295.56
Pacific Asia,Western Asia,558.11
USCA,Northern America,536.54
