order_year,market,order_region,total_sales
2015,Europe,Northern Europe,1050985.540516772
2015,Europe,Southern Europe,983257.3093848809
2015,Europe,Western Europe,2879162.586290937
2015,LATAM,Caribbean,830502.076031712
2015,LATAM,Central America,2754549.473612105
2015,LATAM,South America,1487136.918620183
2015,Pacific Asia,Australia/New Zealand,582855.981525822
2015,Pacific Asia,Eastern Asia,577943.771175872
2015,Pacific Asia,Melanesia,5259.38008508
2015,Pacific Asia,Southeastern Asia,733258.91449364
2015,Pacific Asia,Southern Asia,455919.479145761
