market,order_region,mean_daily_sales
Europe,Northern Europe,583.92
Europe,Southern Europe,585.33
Europe,Western Europe,596.44
LATAM,Caribbean,590.12
LATAM,Central America,591.22
LATAM,South America,590.24
Pacific Asia,Australia/New Zealand,577.29
Pacific Asia,Eastern Asia,591.94
Pacific Asia,Melanesia,626.17
Pacific Asia,Southeastern Asia,594.59
Pacific Asia,Southern Asia,600.51
